iter	Passed	Remaining
674	13758	16816
675	13778	16794
676	13799	16775
677	13821	16757
678	13843	16738
679	13864	16719
680	13886	16700
681	13907	16680
682	13928	16660
683	13947	16638
684	13966	16616
685	13987	16597
686	14006	16574
687	14038	16568
688	14062	16553
689	14084	16534
690	14105	16514
691	14125	16493
692	14144	16471
693	14164	16450
694	14183	16428
695	14201	16405
696	14231	16396
697	14257	16381
698	14276	16359
699	14294	16336
700	14314	16315
701	14340	16301
702	14363	16284
703	14384	16263
704	14405	16244
705	14427	16226
706	14451	16209
707	14475	16192
708	14501	16178
709	14525	16161
710	14548	16144
711	14571	16126
712	14593	16107
713	14614	16087
714	14635	16068
715	14654	16046
716	14675	16026
717	14694	16004
718	14715	15984
719	14734	15962
720	14754	15941
721	14775	15921
722	14797	15903
723	14818	15882
724	14837	15860
725	14859	15841
726	14883	15824
727	14902	15802
728	14923	15783
729	14942	15761
730	14961	15738
731	14982	15719
732	15002	15698
733	15023	15678
734	15053	15667
735	15073	15646
736	15094	15627
737	15112	15604
738	15133	15583
739	15154	15564
740	15176	15544
741	15196	15524
742	15214	15501
743	15233	15479
744	15257	15462
745	15277	15440
746	15295	15418
747	15316	15397
748	15334	15375
749	15354	15354
750	15378	15337
751	15399	15317
752	15419	15296
753	15436	15273
754	15456	15252
755	15479	15233
756	15498	15212
757	15521	15194
758	15544	15176
759	15566	15156
760	15588	15137
761	15608	15117
762	15630	15097
763	15656	15082
764	15684	15069
765	15709	15052
766	15736	15039
767	15759	15020
768	15788	15008
769	15817	14996
770	15845	14982
771	15871	14966
772	15894	14948
773	15920	14933
774	15942	14913
775	15970	14900
776	15996	14885
777	16023	14870
778	16048	14853
779	16090	14852
780	16109	14830
781	16135	14815
782	16160	14797
783	16183	14780
784	16210	14764
785	16236	14749
786	16260	14731
787	16283	14712
788	16303	14691
789	16325	14672
790	16343	14649
791	16363	14628
792	16389	14612
793	16409	14590
794	16433	14572
795	16458	14556
796	16482	14538
797	16504	14518
798	16524	14497
799	16542	14474
800	16564	14455
801	16587	14436
802	16606	14414
803	16629	14396
804	16654	14378
805	16677	14359
806	16694	14336
807	16718	14318
808	16737	14296
809	16756	14274
810	16779	14255
811	16800	14234
812	16821	14214
813	16840	14192
814	16861	14171
815	16881	14150
816	16904	14132
817	16925	14111
818	16946	14090
819	16967	14070
820	16986	14048
821	17007	14027
822	17026	14005
823	17049	13987
824	17083	13977
825	17108	13960
826	17127	13938
827	17146	13916
828	17164	13893
829	17181	13869
830	17202	13848
831	17222	13827
832	17240	13804
833	17257	13781
834	17277	13759
835	17297	13738
836	17315	13715
837	17332	13692
838	17351	13669
839	17374	13651
840	17394	13630
841	17414	13608
842	17433	13586
843	17453	13565
844	17474	13545
845	17498	13527
846	17519	13506
847	17540	13486
848	17561	13465
849	17581	13444
850	17600	13422
851	17621	13401
852	17641	13381
853	17661	13360
854	17681	13338
855	17702	13317
856	17724	13298
857	17744	13277
858	17763	13255
859	17785	13235
860	17804	13213
861	17821	13190
862	17841	13169
863	17861	13148
864	17881	13127
865	17902	13106
866	17921	13084
867	17940	13062
868	17959	13040
869	17981	13020
870	18001	12999
871	18018	12976
872	18040	12957
873	18062	12937
874	18082	12916
875	18122	12909
876	18141	12887
877	18160	12865
878	18181	12845
879	18201	12823
880	18221	12802
881	18247	12785
882	18280	12773
883	18300	12752
884	18322	12732
885	18339	12709
886	18357	12686
887	18375	12664
888	18396	12643
889	18416	12622
890	18437	12602
891	18461	12583
892	18484	12564
893	18509	12546
894	18527	12524
895	18548	12503
896	18567	12482
897	18586	12460
898	18607	12439
899	18627	12418
900	18646	12396
901	18666	12375
902	18684	12352
903	18703	12331
904	18723	12309
905	18744	12289
906	18763	12267
907	18781	12245
908	18799	12222
909	18818	12201
910	18839	12180
911	18859	12159
912	18880	12138
913	18901	12118
914	18918	12095
915	18936	12073
916	18957	12052
917	18978	12032
918	18997	12010
919	19021	11991
920	19041	11970
921	19062	11950
922	19082	11929
923	19109	11912
924	19145	11901
925	19165	11880
926	19189	11861
927	19212	11842
928	19232	11821
929	19255	11802
