iter	Passed	Remaining
624	17243	51731
625	17287	51752
626	17326	51758
627	17352	51724
628	17400	51757
629	17449	51794
630	17490	51805
631	17516	51772
632	17546	51752
633	17574	51725
634	17597	51685
635	17626	51658
636	17650	51622
637	17673	51578
638	17699	51545
639	17724	51511
640	17749	51477
641	17782	51465
642	17812	51441
643	17844	51428
644	17882	51429
645	17924	51443
646	17958	51431
647	17998	51438
648	18035	51438
649	18063	51410
650	18085	51366
651	18113	51340
652	18143	51318
653	18170	51289
654	18202	51273
655	18316	51486
656	18433	51708
657	18460	51679
658	18497	51674
659	18518	51626
660	18542	51588
661	18575	51574
662	18597	51527
663	18616	51474
664	18633	51417
665	18650	51359
666	18669	51307
667	18688	51253
668	18710	51210
669	18729	51156
670	18746	51100
671	18774	51071
672	18803	51047
673	18830	51014
674	18847	50956
675	18865	50903
676	18884	50851
677	18909	50815
678	18937	50788
679	18960	50747
680	18985	50712
681	19010	50675
682	19032	50632
683	19051	50580
684	19075	50542
685	19093	50490
686	19114	50443
687	19134	50394
688	19152	50341
689	19169	50284
690	19185	50225
691	19202	50170
692	19221	50120
693	19242	50074
694	19259	50020
695	19281	49975
696	19312	49957
697	19334	49915
698	19355	49870
699	19374	49819
700	19394	49773
701	19441	49793
702	19614	50138
703	19648	50125
704	19680	50108
705	19710	50085
706	19739	50060
707	19770	50041
708	19796	50007
709	19824	49979
710	19851	49949
711	19877	49916
712	19902	49882
713	19926	49844
714	19947	49798
715	19971	49760
716	20031	49812
717	20067	49805
718	20092	49770
719	20116	49733
720	20147	49712
721	20174	49681
722	20192	49628
723	20214	49586
724	20231	49532
725	20255	49494
726	20275	49448
727	20296	49402
728	20321	49368
729	20351	49346
730	20375	49307
731	20393	49257
732	20413	49209
733	20431	49158
734	20449	49107
735	20469	49059
736	20487	49008
737	20515	48981
738	20545	48958
739	20571	48926
740	20588	48873
741	20661	48952
742	20771	49120
743	20801	49096
744	20826	49059
745	20853	49030
746	20872	48981
747	20889	48928
748	20908	48880
749	20927	48831
750	20947	48784
751	20969	48743
752	20992	48703
753	21016	48667
754	21042	48635
755	21067	48599
756	21083	48545
757	21101	48495
758	21121	48449
759	21138	48396
760	21156	48346
761	21177	48303
762	21196	48254
763	21215	48206
764	21231	48152
765	21251	48108
766	21270	48060
767	21291	48017
768	21311	47971
769	21330	47923
770	21350	47880
771	21381	47859
772	21405	47823
773	21424	47777
774	21445	47733
775	21465	47688
776	21482	47637
777	21502	47592
778	21519	47541
779	21539	47496
780	21560	47455
781	21587	47427
782	21625	47421
783	21657	47403
784	21685	47377
785	21710	47344
786	21736	47311
787	21801	47365
788	21933	47564
789	21963	47540
790	21991	47514
791	22017	47483
792	22045	47454
793	22073	47428
794	22100	47397
795	22134	47382
796	22153	47336
797	22173	47292
798	22193	47247
799	22216	47209
800	22237	47168
801	22255	47120
802	22274	47074
803	22293	47027
804	22314	46986
805	22333	46939
806	22352	46892
807	22370	46845
808	22391	46804
809	22428	46794
810	22449	46752
811	22471	46713
812	22492	46672
813	22512	46629
814	22532	46585
815	22550	46538
816	22584	46522
817	22605	46481
818	22627	46443
819	22656	46418
820	22689	46400
821	22720	46380
822	22747	46352
823	22775	46324
824	22800	46292
825	22828	46264
826	22852	46230
827	22876	46194
828	22900	46159
829	22969	46215
830	23096	46387
831	23120	46352
832	23148	46324
833	23172	46288
834	23194	46251
835	23216	46210
836	23236	46167
837	23254	46119
838	23272	46073
839	23292	46030
840	23309	45981
841	23327	45934
842	23343	45884
843	23364	45843
844	23384	45799
845	23401	45752
846	23422	45710
847	23454	45691
848	23476	45654
849	23497	45613
850	23516	45567
851	23534	45522
852	23553	45477
853	23571	45430
854	23590	45388
855	23610	45345
856	23629	45301
857	23656	45271
858	23678	45233
859	23698	45192
860	23717	45147
861	23735	45103
862	23755	45061
863	23778	45024
864	23799	44984
865	23818	44941
866	23838	44899
867	23856	44854
868	23873	44807
869	23894	44768
870	23913	44723
871	23941	44698
872	24003	44734
873	24041	44727
874	24067	44696
875	24156	44783
876	24266	44908
877	24341	44968
878	24466	45118
879	24631	45344
880	24753	45489
881	24837	45562
882	24920	45636
883	24964	45636
884	25051	45716
885	25118	45757
886	25178	45786
887	25209	45763
888	25270	45793
889	25523	46171
890	25573	46182
891	25597	46143
892	25622	46109
893	25648	46075
894	25668	46031
895	25687	45986
896	25709	45944
897	25731	45904
898	25748	45854
899	25768	45810
900	25786	45763
901	25805	45717
902	25824	45672
903	25842	45623
904	25862	45580
905	25880	45533
906	25900	45489
907	25920	45446
908	25940	45402
909	25965	45367
910	25990	45333
911	26013	45294
912	26038	45260
913	26064	45228
914	26089	45192
915	26106	45144
916	26126	45101
917	26149	45064
918	26171	45023
919	26193	44984
920	26215	44945
921	26237	44905
922	26264	44874
923	26289	44840
924	26310	44799
925	26327	44751
926	26345	44704
927	26361	44655
928	26393	44633
929	26413	44590
930	26432	44547
931	26453	44504
932	26473	44462
933	26497	44426
934	26525	44398
935	26634	44504
936	26732	44592
937	26758	44559
